,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
1392,Three bed,Mayo,934.04,10600,137970,1385.131496350365,0.0881169811320754,158.65,261.31,59.52,136.57,25.07,50725
1393,Four plus bed,Mayo,910.5,10600,137970,1680.8637333333334,0.0858962264150943,158.65,261.31,59.52,136.57,25.07,50725
1394,All bedrooms,Mayo,890.55,10600,137970,1298.127292225201,0.0840141509433962,158.65,261.31,59.52,136.57,25.07,50725
1395,Four plus bed,Mayo,889.62,10600,137970,1680.8637333333334,0.0839264150943396,158.65,261.31,59.52,136.57,25.07,50725
1396,1 to 3 bed,Mayo,857.52,10600,137970,1230.7152459016395,0.0808981132075471,158.65,261.31,59.52,136.57,25.07,50725
1397,Two bed,Mayo,834.8,10600,137970,1274.9833802816902,0.078754716981132,158.65,261.31,59.52,136.57,25.07,50725
1398,Three bed,Mayo,827.07,10600,137970,1385.131496350365,0.0780254716981132,158.65,261.31,59.52,136.57,25.07,50725
1399,All bedrooms,Mayo,814.62,10600,137970,1298.127292225201,0.0768509433962264,158.65,261.31,59.52,136.57,25.07,50725
1400,Four plus bed,Mayo,810.38,10600,137970,1680.8637333333334,0.0764509433962264,158.65,261.31,59.52,136.57,25.07,50725
1401,Four plus bed,Mayo,805.52,10600,137970,1680.8637333333334,0.0759924528301886,158.65,261.31,59.52,136.57,25.07,50725
1402,1 to 2 bed,Mayo,799.03,10600,137970,1184.0090322580645,0.0753801886792452,158.65,261.31,59.52,136.57,25.07,50725
1403,All bedrooms,Mayo,796.53,10600,137970,1298.127292225201,0.0751443396226415,158.65,261.31,59.52,136.57,25.07,50725
1404,Two bed,Mayo,787.63,10600,137970,1274.9833802816902,0.074304716981132,158.65,261.31,59.52,136.57,25.07,50725
1405,1 to 3 bed,Mayo,787.06,10600,137970,1230.7152459016395,0.0742509433962264,158.65,261.31,59.52,136.57,25.07,50725
1406,Two bed,Mayo,786.58,10600,137970,1274.9833802816902,0.0742056603773585,158.65,261.31,59.52,136.57,25.07,50725
1407,Three bed,Mayo,782.7,10600,137970,1385.131496350365,0.0738396226415094,158.65,261.31,59.52,136.57,25.07,50725
1408,Three bed,Mayo,777.0,10600,137970,1385.131496350365,0.0733018867924528,158.65,261.31,59.52,136.57,25.07,50725
1409,Three bed,Mayo,774.26,10600,137970,1385.131496350365,0.073043396226415,158.65,261.31,59.52,136.57,25.07,50725
1410,1 to 3 bed,Mayo,763.85,10600,137970,1230.7152459016395,0.0720613207547169,158.65,261.31,59.52,136.57,25.07,50725
1411,1 to 2 bed,Mayo,754.28,10600,137970,1184.0090322580645,0.0711584905660377,158.65,261.31,59.52,136.57,25.07,50725
1412,Three bed,Mayo,753.15,10600,137970,1385.131496350365,0.0710518867924528,158.65,261.31,59.52,136.57,25.07,50725
1413,1 to 2 bed,Mayo,739.49,10600,137970,1184.0090322580645,0.0697632075471698,158.65,261.31,59.52,136.57,25.07,50725
1414,All bedrooms,Mayo,733.16,10600,137970,1298.127292225201,0.069166037735849,158.65,261.31,59.52,136.57,25.07,50725
1415,All bedrooms,Mayo,728.14,10600,137970,1298.127292225201,0.0686924528301886,158.65,261.31,59.52,136.57,25.07,50725
1416,All bedrooms,Mayo,714.2,10600,137970,1298.127292225201,0.067377358490566,158.65,261.31,59.52,136.57,25.07,50725
1417,1 to 3 bed,Mayo,708.54,10600,137970,1230.7152459016395,0.0668433962264151,158.65,261.31,59.52,136.57,25.07,50725
1418,Three bed,Mayo,705.82,10600,137970,1385.131496350365,0.0665867924528302,158.65,261.31,59.52,136.57,25.07,50725
1419,1 to 3 bed,Mayo,705.26,10600,137970,1230.7152459016395,0.0665339622641509,158.65,261.31,59.52,136.57,25.07,50725
1420,Three bed,Mayo,701.88,10600,137970,1385.131496350365,0.0662150943396226,158.65,261.31,59.52,136.57,25.07,50725
1421,All bedrooms,Mayo,701.12,10600,137970,1298.127292225201,0.066143396226415,158.65,261.31,59.52,136.57,25.07,50725
1422,One bed,Mayo,699.32,10600,137970,1057.0936904761904,0.0659735849056603,158.65,261.31,59.52,136.57,25.07,50725
1423,1 to 3 bed,Mayo,690.91,10600,137970,1230.7152459016395,0.0651801886792452,158.65,261.31,59.52,136.57,25.07,50725
1424,All bedrooms,Mayo,683.93,10600,137970,1298.127292225201,0.0645216981132075,158.65,261.31,59.52,136.57,25.07,50725
1425,1 to 3 bed,Mayo,674.05,10600,137970,1230.7152459016395,0.0635896226415094,158.65,261.31,59.52,136.57,25.07,50725
1426,One bed,Mayo,672.64,10600,137970,1057.0936904761904,0.0634566037735849,158.65,261.31,59.52,136.57,25.07,50725
1427,Two bed,Mayo,664.28,10600,137970,1274.9833802816902,0.0626679245283018,158.65,261.31,59.52,136.57,25.07,50725
1428,1 to 3 bed,Mayo,661.59,10600,137970,1230.7152459016395,0.0624141509433962,158.65,261.31,59.52,136.57,25.07,50725
1429,All bedrooms,Mayo,648.72,10600,137970,1298.127292225201,0.0612,158.65,261.31,59.52,136.57,25.07,50725
1430,Two bed,Mayo,646.5,10600,137970,1274.9833802816902,0.0609905660377358,158.65,261.31,59.52,136.57,25.07,50725
1431,1 to 2 bed,Mayo,641.45,10600,137970,1184.0090322580645,0.0605141509433962,158.65,261.31,59.52,136.57,25.07,50725
1432,One bed,Mayo,634.18,10600,137970,1057.0936904761904,0.0598283018867924,158.65,261.31,59.52,136.57,25.07,50725
1433,1 to 3 bed,Mayo,627.24,10600,137970,1230.7152459016395,0.0591735849056603,158.65,261.31,59.52,136.57,25.07,50725
1434,Two bed,Mayo,627.0,10600,137970,1274.9833802816902,0.0591509433962264,158.65,261.31,59.52,136.57,25.07,50725
1435,1 to 2 bed,Mayo,624.85,10600,137970,1184.0090322580645,0.0589481132075471,158.65,261.31,59.52,136.57,25.07,50725
1436,All bedrooms,Mayo,616.1,10600,137970,1298.127292225201,0.0581226415094339,158.65,261.31,59.52,136.57,25.07,50725
1437,1 to 2 bed,Mayo,613.97,10600,137970,1184.0090322580645,0.0579216981132075,158.65,261.31,59.52,136.57,25.07,50725
1438,Two bed,Mayo,601.51,10600,137970,1274.9833802816902,0.0567462264150943,158.65,261.31,59.52,136.57,25.07,50725
1439,1 to 2 bed,Mayo,598.97,10600,137970,1184.0090322580645,0.0565066037735849,158.65,261.31,59.52,136.57,25.07,50725
1440,Two bed,Mayo,565.71,10600,137970,1274.9833802816902,0.0533688679245283,158.65,261.31,59.52,136.57,25.07,50725
1441,1 to 3 bed,Mayo,552.02,10600,137970,1230.7152459016395,0.052077358490566,158.65,261.31,59.52,136.57,25.07,50725
1442,1 to 2 bed,Mayo,549.82,10600,137970,1184.0090322580645,0.0518698113207547,158.65,261.31,59.52,136.57,25.07,50725
1443,One bed,Mayo,544.69,10600,137970,1057.0936904761904,0.0513858490566037,158.65,261.31,59.52,136.57,25.07,50725
1444,Four plus bed,Meath,1942.57,16890,220826,1680.8637333333334,0.1150130254588513,334.13,529.26,118.6,276.81,56.22,66250
1445,Three bed,Meath,1717.03,16890,220826,1385.131496350365,0.1016595618709295,334.13,529.26,118.6,276.81,56.22,66250
1446,Three bed,Meath,1706.78,16890,220826,1385.131496350365,0.1010526939017169,334.13,529.26,118.6,276.81,56.22,66250
1447,Three bed,Meath,1601.42,16890,220826,1385.131496350365,0.0948146832445233,334.13,529.26,118.6,276.81,56.22,66250
1448,Three bed,Meath,1591.44,16890,220826,1385.131496350365,0.0942238010657193,334.13,529.26,118.6,276.81,56.22,66250
1449,All bedrooms,Meath,1571.91,16890,220826,1298.127292225201,0.0930674955595026,334.13,529.26,118.6,276.81,56.22,66250
1450,Four plus bed,Meath,1534.23,16890,220826,1680.8637333333334,0.0908365896980461,334.13,529.26,118.6,276.81,56.22,66250
1451,1 to 3 bed,Meath,1501.43,16890,220826,1230.7152459016395,0.088894612196566,334.13,529.26,118.6,276.81,56.22,66250
1452,All bedrooms,Meath,1499.34,16890,220826,1298.127292225201,0.0887708703374778,334.13,529.26,118.6,276.81,56.22,66250
1453,All bedrooms,Meath,1483.06,16890,220826,1298.127292225201,0.0878069863824748,334.13,529.26,118.6,276.81,56.22,66250
1454,Two bed,Meath,1464.12,16890,220826,1274.9833802816902,0.0866856127886323,334.13,529.26,118.6,276.81,56.22,66250
1455,Three bed,Meath,1464.0,16890,220826,1385.131496350365,0.0866785079928952,334.13,529.26,118.6,276.81,56.22,66250
1456,Two bed,Meath,1439.83,16890,220826,1274.9833802816902,0.0852474837181764,334.13,529.26,118.6,276.81,56.22,66250
1457,Four plus bed,Meath,1434.93,16890,220826,1680.8637333333334,0.0849573712255772,334.13,529.26,118.6,276.81,56.22,66250
1458,1 to 3 bed,Meath,1429.98,16890,220826,1230.7152459016395,0.0846642984014209,334.13,529.26,118.6,276.81,56.22,66250
1459,All bedrooms,Meath,1429.57,16890,220826,1298.127292225201,0.0846400236826524,334.13,529.26,118.6,276.81,56.22,66250
1460,Four plus bed,Meath,1429.21,16890,220826,1680.8637333333334,0.084618709295441,334.13,529.26,118.6,276.81,56.22,66250
1461,1 to 3 bed,Meath,1428.18,16890,220826,1230.7152459016395,0.0845577264653641,334.13,529.26,118.6,276.81,56.22,66250
1462,All bedrooms,Meath,1414.01,16890,220826,1298.127292225201,0.0837187685020722,334.13,529.26,118.6,276.81,56.22,66250
1463,All bedrooms,Meath,1413.13,16890,220826,1298.127292225201,0.0836666666666666,334.13,529.26,118.6,276.81,56.22,66250
1464,Two bed,Meath,1406.2,16890,220826,1274.9833802816902,0.0832563647128478,334.13,529.26,118.6,276.81,56.22,66250
1465,All bedrooms,Meath,1404.94,16890,220826,1298.127292225201,0.083181764357608,334.13,529.26,118.6,276.81,56.22,66250
1466,1 to 3 bed,Meath,1398.72,16890,220826,1230.7152459016395,0.0828134991119005,334.13,529.26,118.6,276.81,56.22,66250
1467,Three bed,Meath,1393.29,16890,220826,1385.131496350365,0.0824920071047957,334.13,529.26,118.6,276.81,56.22,66250
1468,1 to 2 bed,Meath,1381.23,16890,220826,1184.0090322580645,0.0817779751332149,334.13,529.26,118.6,276.81,56.22,66250
1469,1 to 2 bed,Meath,1367.46,16890,220826,1184.0090322580645,0.0809626998223801,334.13,529.26,118.6,276.81,56.22,66250
1470,Three bed,Meath,1363.73,16890,220826,1385.131496350365,0.0807418590882178,334.13,529.26,118.6,276.81,56.22,66250
1471,1 to 2 bed,Meath,1357.36,16890,220826,1184.0090322580645,0.0803647128478389,334.13,529.26,118.6,276.81,56.22,66250
1472,Three bed,Meath,1356.67,16890,220826,1385.131496350365,0.0803238602723505,334.13,529.26,118.6,276.81,56.22,66250
1473,Two bed,Meath,1356.41,16890,220826,1274.9833802816902,0.0803084665482534,334.13,529.26,118.6,276.81,56.22,66250
1474,1 to 3 bed,Meath,1350.82,16890,220826,1230.7152459016395,0.0799775014801657,334.13,529.26,118.6,276.81,56.22,66250
1475,All bedrooms,Meath,1347.27,16890,220826,1298.127292225201,0.0797673179396092,334.13,529.26,118.6,276.81,56.22,66250
1476,Three bed,Meath,1345.37,16890,220826,1385.131496350365,0.0796548253404381,334.13,529.26,118.6,276.81,56.22,66250
1477,1 to 3 bed,Meath,1343.75,16890,220826,1230.7152459016395,0.0795589105979869,334.13,529.26,118.6,276.81,56.22,66250
1478,1 to 2 bed,Meath,1336.47,16890,220826,1184.0090322580645,0.0791278863232682,334.13,529.26,118.6,276.81,56.22,66250
1479,1 to 3 bed,Meath,1333.93,16890,220826,1230.7152459016395,0.0789775014801657,334.13,529.26,118.6,276.81,56.22,66250
1480,Four plus bed,Meath,1316.57,16890,220826,1680.8637333333334,0.0779496743635287,334.13,529.26,118.6,276.81,56.22,66250
1481,All bedrooms,Meath,1301.96,16890,220826,1298.127292225201,0.077084665482534,334.13,529.26,118.6,276.81,56.22,66250
1482,Two bed,Meath,1279.29,16890,220826,1274.9833802816902,0.0757424511545293,334.13,529.26,118.6,276.81,56.22,66250
1483,All bedrooms,Meath,1278.71,16890,220826,1298.127292225201,0.0757081113084665,334.13,529.26,118.6,276.81,56.22,66250
1484,Three bed,Meath,1263.55,16890,220826,1385.131496350365,0.0748105387803434,334.13,529.26,118.6,276.81,56.22,66250
1485,1 to 3 bed,Meath,1262.17,16890,220826,1230.7152459016395,0.0747288336293665,334.13,529.26,118.6,276.81,56.22,66250
1486,Two bed,Meath,1257.35,16890,220826,1274.9833802816902,0.0744434576672587,334.13,529.26,118.6,276.81,56.22,66250
1487,1 to 3 bed,Meath,1254.54,16890,220826,1230.7152459016395,0.0742770870337477,334.13,529.26,118.6,276.81,56.22,66250
1488,1 to 2 bed,Meath,1240.24,16890,220826,1184.0090322580645,0.0734304322084073,334.13,529.26,118.6,276.81,56.22,66250
1489,All bedrooms,Meath,1239.53,16890,220826,1298.127292225201,0.073388395500296,334.13,529.26,118.6,276.81,56.22,66250
1490,Four plus bed,Meath,1227.99,16890,220826,1680.8637333333334,0.0727051509769094,334.13,529.26,118.6,276.81,56.22,66250
1491,1 to 3 bed,Meath,1226.55,16890,220826,1230.7152459016395,0.0726198934280639,334.13,529.26,118.6,276.81,56.22,66250
1492,All bedrooms,Meath,1222.53,16890,220826,1298.127292225201,0.0723818827708703,334.13,529.26,118.6,276.81,56.22,66250
1493,Three bed,Meath,1219.73,16890,220826,1385.131496350365,0.0722161042036708,334.13,529.26,118.6,276.81,56.22,66250
1494,Three bed,Meath,1219.55,16890,220826,1385.131496350365,0.0722054470100651,334.13,529.26,118.6,276.81,56.22,66250
1495,1 to 2 bed,Meath,1219.47,16890,220826,1184.0090322580645,0.0722007104795737,334.13,529.26,118.6,276.81,56.22,66250
1496,Two bed,Meath,1211.51,16890,220826,1274.9833802816902,0.0717294256956779,334.13,529.26,118.6,276.81,56.22,66250
1497,Two bed,Meath,1206.77,16890,220826,1274.9833802816902,0.0714487862640615,334.13,529.26,118.6,276.81,56.22,66250
1498,1 to 3 bed,Meath,1198.93,16890,220826,1230.7152459016395,0.0709846062759029,334.13,529.26,118.6,276.81,56.22,66250
1499,1 to 3 bed,Meath,1188.84,16890,220826,1230.7152459016395,0.0703872113676731,334.13,529.26,118.6,276.81,56.22,66250
1500,1 to 2 bed,Meath,1181.38,16890,220826,1184.0090322580645,0.0699455298993487,334.13,529.26,118.6,276.81,56.22,66250
1501,Two bed,Meath,1175.65,16890,220826,1274.9833802816902,0.0696062759029011,334.13,529.26,118.6,276.81,56.22,66250
1502,All bedrooms,Meath,1160.01,16890,220826,1298.127292225201,0.0686802841918294,334.13,529.26,118.6,276.81,56.22,66250
1503,All bedrooms,Meath,1138.06,16890,220826,1298.127292225201,0.0673806986382474,334.13,529.26,118.6,276.81,56.22,66250
1504,One bed,Meath,1137.59,16890,220826,1057.0936904761904,0.0673528715216104,334.13,529.26,118.6,276.81,56.22,66250
1505,1 to 2 bed,Meath,1137.02,16890,220826,1184.0090322580645,0.067319123741859,334.13,529.26,118.6,276.81,56.22,66250
1506,Two bed,Meath,1105.85,16890,220826,1274.9833802816902,0.0654736530491415,334.13,529.26,118.6,276.81,56.22,66250
1507,1 to 2 bed,Meath,1098.43,16890,220826,1184.0090322580645,0.0650343398460627,334.13,529.26,118.6,276.81,56.22,66250
1508,1 to 3 bed,Meath,1091.38,16890,220826,1230.7152459016395,0.0646169330965068,334.13,529.26,118.6,276.81,56.22,66250
1509,1 to 3 bed,Meath,1090.58,16890,220826,1230.7152459016395,0.0645695677915926,334.13,529.26,118.6,276.81,56.22,66250
1510,Three bed,Meath,1072.51,16890,220826,1385.131496350365,0.0634997039668442,334.13,529.26,118.6,276.81,56.22,66250
1511,Two bed,Meath,1062.16,16890,220826,1274.9833802816902,0.0628869153345174,334.13,529.26,118.6,276.81,56.22,66250
1512,All bedrooms,Meath,1054.56,16890,220826,1298.127292225201,0.062436944937833,334.13,529.26,118.6,276.81,56.22,66250
1513,All bedrooms,Meath,1044.84,16890,220826,1298.127292225201,0.0618614564831261,334.13,529.26,118.6,276.81,56.22,66250
1514,Two bed,Meath,994.44,16890,220826,1274.9833802816902,0.0588774422735346,334.13,529.26,118.6,276.81,56.22,66250
1515,1 to 2 bed,Meath,991.23,16890,220826,1184.0090322580645,0.0586873889875666,334.13,529.26,118.6,276.81,56.22,66250
1516,1 to 3 bed,Meath,987.45,16890,220826,1230.7152459016395,0.0584635879218472,334.13,529.26,118.6,276.81,56.22,66250
1517,1 to 3 bed,Meath,984.38,16890,220826,1230.7152459016395,0.0582818235642391,334.13,529.26,118.6,276.81,56.22,66250
1518,1 to 2 bed,Meath,973.32,16890,220826,1184.0090322580645,0.057626998223801,334.13,529.26,118.6,276.81,56.22,66250
1519,Two bed,Meath,943.04,16890,220826,1274.9833802816902,0.0558342214328004,334.13,529.26,118.6,276.81,56.22,66250
1520,1 to 2 bed,Meath,929.16,16890,220826,1184.0090322580645,0.0550124333925399,334.13,529.26,118.6,276.81,56.22,66250
1521,1 to 2 bed,Meath,923.17,16890,220826,1184.0090322580645,0.0546577856719952,334.13,529.26,118.6,276.81,56.22,66250
1522,One bed,Meath,921.12,16890,220826,1057.0936904761904,0.0545364120781527,334.13,529.26,118.6,276.81,56.22,66250
1523,One bed,Meath,886.22,16890,220826,1057.0936904761904,0.0524701006512729,334.13,529.26,118.6,276.81,56.22,66250
1524,One bed,Meath,823.12,16890,220826,1057.0936904761904,0.0487341622261693,334.13,529.26,118.6,276.81,56.22,66250
1525,One bed,Meath,742.23,16890,220826,1057.0936904761904,0.0439449378330373,334.13,529.26,118.6,276.81,56.22,66250
1526,Four plus bed,Monaghan,1051.53,10500,65288,1680.8637333333334,0.1001457142857142,94.91,110.98,24.57,57.49,13.13,51642
1527,Four plus bed,Monaghan,1000.95,10500,65288,1680.8637333333334,0.0953285714285714,94.91,110.98,24.57,57.49,13.13,51642
1528,Four plus bed,Monaghan,899.61,10500,65288,1680.8637333333334,0.0856771428571428,94.91,110.98,24.57,57.49,13.13,51642
1529,One bed,Monaghan,892.62,10500,65288,1057.0936904761904,0.0850114285714285,94.91,110.98,24.57,57.49,13.13,51642
1530,All bedrooms,Monaghan,892.03,10500,65288,1298.127292225201,0.0849552380952381,94.91,110.98,24.57,57.49,13.13,51642
1531,Three bed,Monaghan,848.93,10500,65288,1385.131496350365,0.0808504761904761,94.91,110.98,24.57,57.49,13.13,51642
1532,Three bed,Monaghan,826.61,10500,65288,1385.131496350365,0.0787247619047619,94.91,110.98,24.57,57.49,13.13,51642
1533,1 to 3 bed,Monaghan,826.23,10500,65288,1230.7152459016395,0.0786885714285714,94.91,110.98,24.57,57.49,13.13,51642
1534,Two bed,Monaghan,809.21,10500,65288,1274.9833802816902,0.077067619047619,94.91,110.98,24.57,57.49,13.13,51642
1535,All bedrooms,Monaghan,796.32,10500,65288,1298.127292225201,0.07584,94.91,110.98,24.57,57.49,13.13,51642
1536,1 to 2 bed,Monaghan,795.71,10500,65288,1184.0090322580645,0.0757819047619047,94.91,110.98,24.57,57.49,13.13,51642
1537,1 to 3 bed,Monaghan,786.3,10500,65288,1230.7152459016395,0.0748857142857142,94.91,110.98,24.57,57.49,13.13,51642
1538,Three bed,Monaghan,773.42,10500,65288,1385.131496350365,0.0736590476190476,94.91,110.98,24.57,57.49,13.13,51642
1539,Three bed,Monaghan,767.06,10500,65288,1385.131496350365,0.0730533333333333,94.91,110.98,24.57,57.49,13.13,51642
1540,All bedrooms,Monaghan,762.22,10500,65288,1298.127292225201,0.0725923809523809,94.91,110.98,24.57,57.49,13.13,51642
1541,All bedrooms,Monaghan,759.44,10500,65288,1298.127292225201,0.072327619047619,94.91,110.98,24.57,57.49,13.13,51642
1542,1 to 2 bed,Monaghan,754.27,10500,65288,1184.0090322580645,0.071835238095238,94.91,110.98,24.57,57.49,13.13,51642
1543,Two bed,Monaghan,729.69,10500,65288,1274.9833802816902,0.0694942857142857,94.91,110.98,24.57,57.49,13.13,51642
1544,1 to 3 bed,Monaghan,729.44,10500,65288,1230.7152459016395,0.0694704761904762,94.91,110.98,24.57,57.49,13.13,51642
1545,1 to 3 bed,Monaghan,725.54,10500,65288,1230.7152459016395,0.0690990476190476,94.91,110.98,24.57,57.49,13.13,51642
1546,Two bed,Monaghan,703.76,10500,65288,1274.9833802816902,0.0670247619047619,94.91,110.98,24.57,57.49,13.13,51642
1547,Three bed,Monaghan,699.95,10500,65288,1385.131496350365,0.0666619047619047,94.91,110.98,24.57,57.49,13.13,51642
1548,1 to 2 bed,Monaghan,698.09,10500,65288,1184.0090322580645,0.0664847619047619,94.91,110.98,24.57,57.49,13.13,51642
1549,1 to 2 bed,Monaghan,695.12,10500,65288,1184.0090322580645,0.0662019047619047,94.91,110.98,24.57,57.49,13.13,51642
1550,Two bed,Monaghan,691.39,10500,65288,1274.9833802816902,0.0658466666666666,94.91,110.98,24.57,57.49,13.13,51642
1551,One bed,Monaghan,673.6,10500,65288,1057.0936904761904,0.0641523809523809,94.91,110.98,24.57,57.49,13.13,51642
1552,All bedrooms,Monaghan,659.55,10500,65288,1298.127292225201,0.0628142857142857,94.91,110.98,24.57,57.49,13.13,51642
1553,1 to 3 bed,Monaghan,650.1,10500,65288,1230.7152459016395,0.0619142857142857,94.91,110.98,24.57,57.49,13.13,51642
1554,One bed,Monaghan,634.44,10500,65288,1057.0936904761904,0.0604228571428571,94.91,110.98,24.57,57.49,13.13,51642
1555,Four plus bed,Offaly,1163.9,12042,83150,1680.8637333333334,0.0966533798372363,85.55,315.39,29.86,52.38,7.27,56021
1556,Four plus bed,Offaly,1107.95,12042,83150,1680.8637333333334,0.0920071416708188,85.55,315.39,29.86,52.38,7.27,56021
1557,Three bed,Offaly,1075.98,12042,83150,1385.131496350365,0.0893522670652715,85.55,315.39,29.86,52.38,7.27,56021
1558,Three bed,Offaly,1050.08,12042,83150,1385.131496350365,0.0872014615512373,85.55,315.39,29.86,52.38,7.27,56021
1559,All bedrooms,Offaly,1027.33,12042,83150,1298.127292225201,0.0853122404916126,85.55,315.39,29.86,52.38,7.27,56021
1560,1 to 3 bed,Offaly,995.43,12042,83150,1230.7152459016395,0.0826631788739412,85.55,315.39,29.86,52.38,7.27,56021
1561,Two bed,Offaly,992.89,12042,83150,1274.9833802816902,0.0824522504567347,85.55,315.39,29.86,52.38,7.27,56021
1562,Three bed,Offaly,981.76,12042,83150,1385.131496350365,0.0815279853844876,85.55,315.39,29.86,52.38,7.27,56021
1563,All bedrooms,Offaly,955.48,12042,83150,1298.127292225201,0.0793456236505563,85.55,315.39,29.86,52.38,7.27,56021
1564,Three bed,Offaly,945.54,12042,83150,1385.131496350365,0.0785201793721973,85.55,315.39,29.86,52.38,7.27,56021
1565,All bedrooms,Offaly,924.07,12042,83150,1298.127292225201,0.0767372529480152,85.55,315.39,29.86,52.38,7.27,56021
1566,1 to 3 bed,Offaly,923.77,12042,83150,1230.7152459016395,0.0767123401428334,85.55,315.39,29.86,52.38,7.27,56021
1567,1 to 2 bed,Offaly,914.57,12042,83150,1184.0090322580645,0.0759483474505896,85.55,315.39,29.86,52.38,7.27,56021
1568,All bedrooms,Offaly,902.76,12042,83150,1298.127292225201,0.0749676133532635,85.55,315.39,29.86,52.38,7.27,56021
1569,1 to 3 bed,Offaly,891.23,12042,83150,1230.7152459016395,0.0740101312074406,85.55,315.39,29.86,52.38,7.27,56021
1570,1 to 3 bed,Offaly,877.98,12042,83150,1230.7152459016395,0.0729098156452416,85.55,315.39,29.86,52.38,7.27,56021
1571,Two bed,Offaly,858.23,12042,83150,1274.9833802816902,0.0712697226374356,85.55,315.39,29.86,52.38,7.27,56021
1572,Two bed,Offaly,827.8,12042,83150,1274.9833802816902,0.0687427337651552,85.55,315.39,29.86,52.38,7.27,56021
1573,1 to 2 bed,Offaly,806.53,12042,83150,1184.0090322580645,0.0669764158777611,85.55,315.39,29.86,52.38,7.27,56021
1574,1 to 2 bed,Offaly,804.69,12042,83150,1184.0090322580645,0.0668236173393124,85.55,315.39,29.86,52.38,7.27,56021
1575,Three bed,Offaly,802.75,12042,83150,1385.131496350365,0.0666625145324696,85.55,315.39,29.86,52.38,7.27,56021
1576,One bed,Offaly,765.21,12042,83150,1057.0936904761904,0.0635450921773791,85.55,315.39,29.86,52.38,7.27,56021
1577,All bedrooms,Offaly,736.26,12042,83150,1298.127292225201,0.0611410064773293,85.55,315.39,29.86,52.38,7.27,56021
1578,All bedrooms,Offaly,723.8,12042,83150,1298.127292225201,0.0601062946354426,85.55,315.39,29.86,52.38,7.27,56021
1579,1 to 3 bed,Offaly,720.52,12042,83150,1230.7152459016395,0.0598339146321209,85.55,315.39,29.86,52.38,7.27,56021
1580,Two bed,Offaly,710.89,12042,83150,1274.9833802816902,0.059034213585783,85.55,315.39,29.86,52.38,7.27,56021
1581,One bed,Offaly,699.8,12042,83150,1057.0936904761904,0.0581132702208935,85.55,315.39,29.86,52.38,7.27,56021
1582,1 to 3 bed,Offaly,678.98,12042,83150,1230.7152459016395,0.0563843215412722,85.55,315.39,29.86,52.38,7.27,56021
1583,1 to 2 bed,Offaly,677.02,12042,83150,1184.0090322580645,0.0562215578807507,85.55,315.39,29.86,52.38,7.27,56021
1584,1 to 2 bed,Offaly,647.09,12042,83150,1184.0090322580645,0.0537360903504401,85.55,315.39,29.86,52.38,7.27,56021
1585,One bed,Offaly,625.22,12042,83150,1057.0936904761904,0.0519199468526822,85.55,315.39,29.86,52.38,7.27,56021
1586,Four plus bed,Roscommon,1144.66,9000,70259,1680.8637333333334,0.1271844444444444,87.07,69.21,25.23,25.76,8.88,52500
1587,Three bed,Roscommon,1100.66,9000,70259,1385.131496350365,0.1222955555555555,87.07,69.21,25.23,25.76,8.88,52500
1588,All bedrooms,Roscommon,1086.1,9000,70259,1298.127292225201,0.1206777777777777,87.07,69.21,25.23,25.76,8.88,52500
1589,1 to 3 bed,Roscommon,1066.17,9000,70259,1230.7152459016395,0.1184633333333333,87.07,69.21,25.23,25.76,8.88,52500
1590,1 to 2 bed,Roscommon,1016.81,9000,70259,1184.0090322580645,0.1129788888888888,87.07,69.21,25.23,25.76,8.88,52500
1591,Two bed,Roscommon,1013.6,9000,70259,1274.9833802816902,0.1126222222222222,87.07,69.21,25.23,25.76,8.88,52500
1592,Four plus bed,Roscommon,964.3,9000,70259,1680.8637333333334,0.1071444444444444,87.07,69.21,25.23,25.76,8.88,52500
1593,Four plus bed,Roscommon,897.82,9000,70259,1680.8637333333334,0.0997577777777777,87.07,69.21,25.23,25.76,8.88,52500
1594,Three bed,Roscommon,882.63,9000,70259,1385.131496350365,0.09807,87.07,69.21,25.23,25.76,8.88,52500
1595,All bedrooms,Roscommon,832.03,9000,70259,1298.127292225201,0.0924477777777777,87.07,69.21,25.23,25.76,8.88,52500
1596,Three bed,Roscommon,830.26,9000,70259,1385.131496350365,0.0922511111111111,87.07,69.21,25.23,25.76,8.88,52500
1597,All bedrooms,Roscommon,800.55,9000,70259,1298.127292225201,0.08895,87.07,69.21,25.23,25.76,8.88,52500
1598,Four plus bed,Roscommon,799.26,9000,70259,1680.8637333333334,0.0888066666666666,87.07,69.21,25.23,25.76,8.88,52500
1599,Three bed,Roscommon,787.94,9000,70259,1385.131496350365,0.0875488888888889,87.07,69.21,25.23,25.76,8.88,52500
1600,1 to 3 bed,Roscommon,771.24,9000,70259,1230.7152459016395,0.0856933333333333,87.07,69.21,25.23,25.76,8.88,52500
1601,1 to 3 bed,Roscommon,764.29,9000,70259,1230.7152459016395,0.0849211111111111,87.07,69.21,25.23,25.76,8.88,52500
1602,Two bed,Roscommon,764.07,9000,70259,1274.9833802816902,0.0848966666666666,87.07,69.21,25.23,25.76,8.88,52500
